state,Average cost of Electricity (cents/kWh)
Alabama,9.84
Alaska,19.82
Arizona,10.44
Arkansas,8.32
California,18
Colorado,10.27
Connecticut,19.13
Delaware,10.24
District of Columbia,11.9
Florida,10.06
Georgia,9.93
Hawaii,27.55
Idaho,7.99
Illinois,9.75
Indiana,9.92
Iowa,8.97
Kansas,10.38
Kentucky,8.58
Louisiana,7.51
Maine,13.54
Maryland,11.15
Massachusetts,18.19
Michigan,12.21
Minnesota,10.57
Mississippi,9.13
Missouri,9.64
Montana,9.13
Nebraska,8.97
Nevada,8.33
New Hampshire,16.63
New Jersey,13.63
New Mexico,9.33
New York,14.87
North Carolina,9.43
North Dakota,8.53
Ohio,9.44
Oklahoma,7.63
Oregon,8.82
Pennsylvania,9.7
Rhode Island,18.54
South Carolina,9.9
South Dakota,10.06
Tennessee,9.52
Texas,8.36
Utah,8.27
Vermont,16.33
Virginia,9.16
Washington,8.33
West Virginia,8.75
Wisconsin,10.82
Wyoming,8.27
U.S. Total,10.59
